Week number,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 7
Week ended,8-Jan-21,15-Jan-21,22-Jan-21,29-Jan-21,5-Feb-21,12-Feb-21,19-Feb-21,26-Feb-21,5-Mar-21,12-Mar-21,19-Mar-21,26-Mar-21,2-Apr-21,9-Apr-21,16-Apr-21,23-Apr-21,30-Apr-21,7-May-21,14-May-21,21-May-21,28-May-21,4-Jun-21,11-Jun-21,18-Jun-21,25-Jun-21,2-Jul-21,9-Jul-21,16-Jul-21,23-Jul-21,30-Jul-21,6-Aug-21,13-Aug-21,20-Aug-21,27-Aug-21,3-Sep-21,10-Sep-21,17-Sep-21,24-Sep-21,1-Oct-21,8-Oct-21,15-Oct-21,22-Oct-21,29-Oct-21,5-Nov-21,12-Nov-21,19-Nov-21,26-Nov-21,3-Dec-21,10-Dec-21,17-Dec-21,24-Dec-21,31-Dec-21,2020
"Total deaths, all ages (2021)","17,751","18,042","18,676","18,448","17,192","15,354","13,809","12,614","11,592","10,987","10,311","10,045","8,201","9,098","10,438","9,941","9,692","7,986","10,164","9,860","9,628","7,778","10,204","9,459","8,690","8,808","9,752","9,697","9,744","10,135","10,187","10,372","10,013","10,268","8,797","11,035","11,009","10,684","10,510","10,807","11,177","11,308","10,987","11,550","12,050","12,103","11,467","11,659","11,930","12,400","13,013","8,477",:
"Total deaths, all ages (2020)","12,254","14,058","12,990","11,856","11,612","10,986","10,944","10,841","10,816","10,895","11,019","10,645","11,141","16,387","18,516","22,351","21,997","17,953","12,657","14,573","12,288","9,824","10,709","9,976","9,339","8,979","9,140","8,690","8,823","8,891","8,946","8,945","9,392","9,631","9,032","7,739","9,811","9,523","9,634","9,945","9,954","10,534","10,739","10,887","11,812","12,254","12,535","12,456","12,303","12,292","13,011","11,520","10,069"
Total deaths: average of corresponding week in 2015-2019 (England and Wales) 1,"12,175","13,822","13,216","12,760","12,206","11,925","11,627","11,548","11,183","11,498","11,205","10,573","10,130","10,305","10,520","10,497","10,458","9,941","9,576","10,188","9,940","8,171","9,977","9,417","9,404","9,293","9,183","9,250","9,093","9,052","9,036","9,102","9,085","9,157","8,241","9,182","9,306","9,264","9,377","9,555","9,811","9,865","9,759","9,891","10,331","10,350","10,380","10,357","10,695","10,750","11,548","7,954",:
Total deaths: average of corresponding week in 2015-2019 (England) 1,"11,412","12,933","12,370","11,933","11,419","11,154","10,876","10,790","10,448","10,745","10,447","9,841","9,414","9,601","9,807","9,787","9,768","9,289","8,937","9,526","9,299","7,607","9,346","8,803","8,810","8,695","8,606","8,648","8,502","8,452","8,436","8,502","8,494","8,560","7,674","8,604","8,708","8,663","8,744","8,942","9,168","9,215","9,104","9,248","9,675","9,662","9,701","9,690","9,995","10,034","10,804","7,421",:
Total deaths: average of corresponding week in 2015-2019 (Wales) 1,756,856,812,802,760,729,722,724,698,720,727,677,665,667,671,661,662,624,612,635,614,546,610,588,573,571,555,578,557,566,572,571,564,573,539,552,577,575,604,587,615,630,628,616,625,658,653,646,679,693,718,518,:
